index_no,Table_1_LVscore,Table_2_LVscore,Table_3_LVscore,Table_4_LVscore,Table_5_LVscore,,Table_1_LVscore,Table_2_LVscore,Table_3_LVscore,Table_4_LVscore,Table_5_LVscore
1,1,0,0,0,0,,1,0,0,0,0
6,1,0,0,0,0,,1,0,0,0,0
8,0,0,1,0,0,,0,0,1,0,0
9,1,0,0,0,0,,1,0,0,0,0
10,1,0,0,0,0,,0,0,0,0,0
11,1,0,0,0,0,,1,0,0,0,0
20,0,1,0,0,0,,0,0,0,0,1
21,1,0,0,0,0,,1,0,0,0,0
23,1,0,0,0,0,,1,0,0,0,0
27,1,0,0,0,0,,1,0,0,0,0
28,1,0,0,0,0,,0,0,1,0,0
29,0,0,1,0,0,,0,0,1,0,0
32,1,0,0,0,0,,1,0,0,0,0
47,0,1,0,0,0,,0,1,0,0,0
48,0,1,0,0,0,,0,0,0,1,0
51,1,0,0,0,0,,1,0,0,0,0
52,0,0,0,1,0,,0,0,0,0,0
54,1,0,0,0,0,,1,0,0,0,0
56,0,0,1,0,0,,0,0,0,1,0
57,1,0,0,0,0,,0,0,0,0,0
,,,,,,,,,,,
Total HIT,13,16,19,20,20,,10,11,14,16,17
Hit Rate,0.65,0.8,0.95,1,1,,0.5,0.55,0.7,0.8,0.85
